bg_gc_every,cold_victim_bias,cota_alpha,cota_beta,cota_delta,cota_gamma,device_writes,free_blocks,free_pages,gc_avg_s,gc_count,host_writes,hot_ratio,hot_weight,invalid_pages,ops,pages_per_block,policy,reheat_rate,run_id,seed,total_pages,transition_rate,trim_age_bonus,trim_enabled,trim_ratio,trimmed_pages,ts,update_ratio,valid_pages,victim_prefetch_k,waf,warmup_fill,wear_avg,wear_max,wear_min,wear_std
256,0.0,0.38,0.2,0.03,0.15,708713,25,1609,0.000315,10777,80000,0.2,0.7,30,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:21:06,0.8,14745,0,8.858913,0.0,42.402344,45.0,41.0,0.823385
256,0.0,0.38,0.2,0.03,0.15,656838,25,1611,0.00034,9947,80000,0.2,0.7,28,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:21:26,0.8,14745,0,8.210475,0.0,39.238281,42.0,37.0,0.915289
256,0.0,0.38,0.2,0.05,0.15,709835,25,1608,0.000341,10792,80000,0.2,0.7,31,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:21:48,0.8,14745,0,8.872938,0.0,42.457031,44.0,41.0,0.748768
256,0.0,0.38,0.2,0.05,0.15,660254,25,1600,0.000354,10004,80000,0.2,0.7,39,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:22:08,0.8,14745,0,8.253175,0.0,39.460938,41.0,38.0,0.784641
256,0.0,0.38,0.2,0.03,0.2,709290,25,1601,0.000347,10790,80000,0.2,0.7,38,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:22:29,0.8,14745,0,8.866125,0.0,42.441406,44.0,41.0,0.731867
256,0.0,0.38,0.2,0.03,0.2,658281,25,1607,0.00038,9977,80000,0.2,0.7,32,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:22:52,0.8,14745,0,8.228513,0.0,39.339844,42.0,38.0,0.779206
256,0.0,0.38,0.2,0.05,0.2,710225,24,1595,0.000409,10803,80000,0.2,0.7,44,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:23:16,0.8,14745,0,8.877812,0.0,42.5,44.0,41.0,0.71807
256,0.0,0.38,0.2,0.05,0.2,658782,24,1590,0.000399,9982,80000,0.2,0.7,49,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:23:38,0.8,14745,0,8.234775,0.0,39.355469,41.0,38.0,0.675036
256,0.0,0.43,0.2,0.03,0.15,707053,25,1617,0.000343,10749,80000,0.2,0.7,22,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:24:00,0.8,14745,0,8.838162,0.0,42.316406,45.0,40.0,1.194668
256,0.0,0.43,0.2,0.03,0.15,654680,25,1616,0.000384,9920,80000,0.2,0.7,23,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:24:22,0.8,14745,0,8.1835,0.0,39.125,42.0,37.0,1.165922
256,0.0,0.43,0.2,0.05,0.15,709109,25,1609,0.000432,10777,80000,0.2,0.7,30,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:24:47,0.8,14745,0,8.863862,0.0,42.421875,45.0,41.0,0.867012
256,0.0,0.43,0.2,0.05,0.15,658080,25,1618,0.000381,9968,80000,0.2,0.7,21,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:25:09,0.8,14745,0,8.226,0.0,39.3125,41.0,38.0,0.826797
256,0.0,0.43,0.2,0.03,0.2,707028,25,1616,0.000327,10756,80000,0.2,0.7,23,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:25:30,0.8,14745,0,8.83785,0.0,42.304688,45.0,40.0,1.18624
256,0.0,0.43,0.2,0.03,0.2,656863,25,1611,0.000365,9950,80000,0.2,0.7,28,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:25:52,0.8,14745,0,8.210788,0.0,39.242188,41.0,37.0,1.091488
256,0.0,0.43,0.2,0.05,0.2,710000,25,1601,0.000433,10802,80000,0.2,0.7,38,80000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-08T22:26:16,0.8,14745,0,8.875,0.0,42.492188,44.0,41.0,0.785574
256,0.0,0.43,0.2,0.05,0.2,656295,25,1606,0.000333,9938,80000,0.2,0.7,33,80000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-08T22:26:36,0.8,14745,0,8.203687,0.0,39.199219,41.0,38.0,0.772678
