bg_gc_every,cold_victim_bias,cota_alpha,cota_beta,cota_delta,cota_gamma,device_writes,free_blocks,free_pages,gc_avg_s,gc_count,host_writes,hot_ratio,hot_weight,invalid_pages,ops,pages_per_block,policy,reheat_rate,run_id,seed,total_pages,transition_rate,trim_age_bonus,trim_enabled,trim_ratio,trimmed_pages,ts,update_ratio,valid_pages,victim_prefetch_k,waf,warmup_fill,wear_avg,wear_max,wear_min,wear_std
0,1.0,0.4,0.2,0.05,0.1,8394973,25,1637,0.000547,130964,208847,0.2,0.7,2,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-05T21:23:36,0.8,14745,1,40.196761,0.6,511.988281,523.0,500.0,6.267776
0,1.0,0.4,0.2,0.05,0.1,8344202,25,1635,0.000516,130163,208847,0.2,0.7,4,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-05T21:27:07,0.8,14745,1,39.95366,0.6,508.917969,520.0,496.0,6.387022
0,1.0,0.4,0.2,0.05,0.2,8398718,25,1635,0.000493,131020,208847,0.2,0.7,4,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-05T21:30:33,0.8,14745,1,40.214693,0.6,512.21875,523.0,500.0,5.624219
0,1.0,0.4,0.2,0.05,0.2,8348628,25,1633,0.000537,130215,208847,0.2,0.7,6,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-05T21:34:15,0.8,14745,1,39.974852,0.6,509.144531,520.0,498.0,5.550075
0,1.0,0.4,0.3,0.05,0.1,8404832,24,1598,0.000546,131094,208847,0.2,0.7,41,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-05T21:38:01,0.8,14745,1,40.243968,0.6,512.5,515.0,511.0,0.707107
0,1.0,0.4,0.3,0.05,0.1,8353797,25,1604,0.000536,130268,208847,0.2,0.7,35,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-05T21:41:41,0.8,14745,1,39.999603,0.6,509.335938,512.0,508.0,0.737154
0,1.0,0.4,0.3,0.05,0.2,8412698,24,1581,0.000535,131249,208847,0.2,0.7,58,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-05T21:45:24,0.8,14745,1,40.281632,0.6,513.125,516.0,512.0,0.592927
0,1.0,0.4,0.3,0.05,0.2,8359733,24,1576,0.000548,130390,208847,0.2,0.7,63,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-05T21:49:11,0.8,14745,1,40.028025,0.6,509.847656,512.0,509.0,0.615739
0,1.0,0.55,0.2,0.05,0.1,8391631,25,1638,0.000533,130923,208847,0.2,0.7,1,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-05T21:52:51,0.8,14745,1,40.180759,0.6,511.847656,536.0,488.0,12.13805
0,1.0,0.55,0.2,0.05,0.1,8338490,25,1638,0.000512,130079,208847,0.2,0.7,1,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-11-05T21:56:22,0.8,14745,1,39.92631,0.6,508.605469,531.0,484.0,11.857743
0,1.0,0.55,0.2,0.05,0.2,8392083,25,1637,0.000545,130927,208847,0.2,0.7,2,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-11-05T22:00:06,0.8,14745,1,40.182923,0.6,511.855469,533.0,489.0,11.063674
