bg_gc_every,cold_victim_bias,cota_alpha,cota_beta,cota_delta,cota_gamma,device_writes,free_blocks,free_pages,gc_avg_s,gc_count,host_writes,hot_ratio,hot_weight,invalid_pages,ops,pages_per_block,policy,reheat_rate,run_id,seed,total_pages,transition_rate,trim_age_bonus,trim_enabled,trim_ratio,trimmed_pages,ts,update_ratio,valid_pages,victim_prefetch_k,waf,warmup_fill,wear_avg,wear_max,wear_min,wear_std
0,1.0,0.4,0.25,0.05,0.1,8383444,25,1627,0.000401,130771,200000,0.2,0.7,12,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-12-03T13:55:44,0.8,14745,1,41.91722,0.0,511.25,518.0,505.0,3.409545
0,1.0,0.4,0.25,0.05,0.1,8334033,25,1628,0.000445,129998,200000,0.2,0.7,11,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-12-03T13:58:54,0.8,14745,1,41.670165,0.0,508.222656,516.0,501.0,3.43142
0,1.0,0.4,0.25,0.05,0.1,8371894,25,1631,0.000385,130605,200000,0.2,0.7,8,200000,64,cota,0.0,cota_43,43,16384,0.2,0.0,0,0.0,0,2025-12-03T14:01:41,0.8,14745,1,41.85947,0.0,510.582031,517.0,504.0,3.516855
0,1.0,0.4,0.25,0.05,0.1,8511252,25,1631,0.000419,132777,200000,0.2,0.7,8,200000,64,cota,0.0,cota_44,44,16384,0.2,0.0,0,0.0,0,2025-12-03T14:04:43,0.8,14745,1,42.55626,0.0,519.035156,525.0,512.0,3.500381
0,1.0,0.4,0.25,0.05,0.1,8428038,25,1631,0.000449,131479,200000,0.2,0.7,8,200000,64,cota,0.0,cota_45,45,16384,0.2,0.0,0,0.0,0,2025-12-03T14:07:57,0.8,14745,1,42.14019,0.0,513.976562,521.0,507.0,3.388779
0,1.0,0.4,0.25,0.05,0.2,8386109,25,1627,0.000454,130793,200000,0.2,0.7,12,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-12-03T14:11:12,0.8,14745,1,41.930545,0.0,511.339844,516.0,505.0,2.661527
0,1.0,0.4,0.25,0.05,0.2,8334497,25,1624,0.000435,129985,200000,0.2,0.7,15,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-12-03T14:14:18,0.8,14745,1,41.672485,0.0,508.171875,513.0,502.0,2.820432
0,1.0,0.4,0.25,0.05,0.2,8373458,25,1631,0.000417,130611,200000,0.2,0.7,8,200000,64,cota,0.0,cota_43,43,16384,0.2,0.0,0,0.0,0,2025-12-03T14:17:17,0.8,14745,1,41.86729,0.0,510.609375,515.0,504.0,2.840099
0,1.0,0.4,0.25,0.05,0.2,8512648,25,1628,0.000457,132791,200000,0.2,0.7,11,200000,64,cota,0.0,cota_44,44,16384,0.2,0.0,0,0.0,0,2025-12-03T14:20:33,0.8,14745,1,42.56324,0.0,519.085938,524.0,513.0,2.73298
0,1.0,0.4,0.25,0.05,0.2,8429310,25,1631,0.000467,131476,200000,0.2,0.7,8,200000,64,cota,0.0,cota_45,45,16384,0.2,0.0,0,0.0,0,2025-12-03T14:23:52,0.8,14745,1,42.14655,0.0,513.96875,519.0,507.0,2.797704
0,1.0,0.55,0.25,0.05,0.1,8379311,25,1637,0.000443,130723,200000,0.2,0.7,2,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-12-03T14:27:02,0.8,14745,1,41.896555,0.0,511.058594,530.0,492.0,9.929856
0,1.0,0.55,0.25,0.05,0.1,8328257,25,1635,0.000459,129936,200000,0.2,0.7,4,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-12-03T14:30:16,0.8,14745,1,41.641285,0.0,507.992188,525.0,490.0,9.797956
0,1.0,0.55,0.25,0.05,0.1,8366838,25,1639,0.000427,130538,200000,0.2,0.7,0,200000,64,cota,0.0,cota_43,43,16384,0.2,0.0,0,0.0,0,2025-12-03T14:33:21,0.8,14745,1,41.83419,0.0,510.320312,528.0,491.0,10.059925
0,1.0,0.55,0.25,0.05,0.1,8506058,25,1638,0.000404,132712,200000,0.2,0.7,1,200000,64,cota,0.0,cota_44,44,16384,0.2,0.0,0,0.0,0,2025-12-03T14:36:16,0.8,14745,1,42.53029,0.0,518.769531,538.0,500.0,9.547047
0,1.0,0.55,0.25,0.05,0.1,8424463,25,1635,0.000414,131448,200000,0.2,0.7,4,200000,64,cota,0.0,cota_45,45,16384,0.2,0.0,0,0.0,0,2025-12-03T14:39:21,0.8,14745,1,42.122315,0.0,513.859375,534.0,497.0,9.904414
0,1.0,0.55,0.25,0.05,0.2,8380826,25,1636,0.00041,130741,200000,0.2,0.7,3,200000,64,cota,0.0,cota_41,41,16384,0.2,0.0,0,0.0,0,2025-12-03T14:42:17,0.8,14745,1,41.90413,0.0,511.136719,527.0,493.0,9.314013
0,1.0,0.55,0.25,0.05,0.2,8327845,25,1636,0.000439,129921,200000,0.2,0.7,3,200000,64,cota,0.0,cota_42,42,16384,0.2,0.0,0,0.0,0,2025-12-03T14:45:22,0.8,14745,1,41.639225,0.0,507.921875,525.0,490.0,8.367169
0,1.0,0.55,0.25,0.05,0.2,8366026,25,1638,0.00048,130536,200000,0.2,0.7,1,200000,64,cota,0.0,cota_43,43,16384,0.2,0.0,0,0.0,0,2025-12-03T14:48:50,0.8,14745,1,41.83013,0.0,510.3125,526.0,491.0,8.465232
