bg_gc_every,cold_victim_bias,cota_alpha,cota_beta,cota_delta,cota_gamma,device_writes,free_blocks,free_pages,gc_avg_s,gc_count,host_writes,hot_ratio,hot_weight,invalid_pages,ops,pages_per_block,policy,reheat_rate,run_id,seed,total_pages,transition_rate,trim_age_bonus,trim_enabled,trim_ratio,trimmed_pages,ts,update_ratio,valid_pages,victim_prefetch_k,waf,warmup_fill,wear_avg,wear_max,wear_min,wear_std
256,1.0,,,,,8373634,25,1639,0.000388,130648,200000,0.2,0.7,0,200000,64,greedy,0.0,greedy_41,41,16384,0.2,0.0,0,0.0,0,2025-11-06T18:16:09,0.8,14745,1,41.86817,0.0,510.761719,559.0,460.0,19.798049
256,1.0,,,,,8322074,25,1639,0.000442,129826,200000,0.2,0.7,0,200000,64,greedy,0.0,greedy_42,42,16384,0.2,0.0,0,0.0,0,2025-11-06T18:18:14,0.8,14745,1,41.61037,0.0,507.570312,574.0,448.0,22.790549
256,1.0,,,,,8362301,25,1639,0.00041,130484,200000,0.2,0.7,0,200000,64,greedy,0.0,greedy_43,43,16384,0.2,0.0,0,0.0,0,2025-11-06T18:20:12,0.8,14745,1,41.811505,0.0,510.074219,577.0,448.0,21.860852
256,1.0,,,,,8501195,25,1639,0.000414,132657,200000,0.2,0.7,0,200000,64,greedy,0.0,greedy_44,44,16384,0.2,0.0,0,0.0,0,2025-11-06T18:22:14,0.8,14745,1,42.505975,0.0,518.492188,581.0,464.0,21.100761
256,1.0,,,,,8417118,25,1639,0.000409,131343,200000,0.2,0.7,0,200000,64,greedy,0.0,greedy_45,45,16384,0.2,0.0,0,0.0,0,2025-11-06T18:24:12,0.8,14745,1,42.08559,0.0,513.453125,594.0,441.0,20.468291
256,1.0,,,,,8374718,25,1639,0.000457,130663,200000,0.2,0.7,0,200000,64,cb,0.0,cb_41,41,16384,0.2,0.0,0,0.0,0,2025-11-06T18:26:33,0.8,14745,1,41.87359,0.0,510.851562,572.0,452.0,22.437618
256,1.0,,,,,8322585,25,1639,0.000454,129836,200000,0.2,0.7,0,200000,64,cb,0.0,cb_42,42,16384,0.2,0.0,0,0.0,0,2025-11-06T18:28:51,0.8,14745,1,41.612925,0.0,507.609375,577.0,438.0,21.476999
256,1.0,,,,,8360311,25,1639,0.00041,130467,200000,0.2,0.7,0,200000,64,cb,0.0,cb_43,43,16384,0.2,0.0,0,0.0,0,2025-11-06T18:30:58,0.8,14745,1,41.801555,0.0,510.039062,623.0,462.0,21.426438
256,1.0,,,,,8500516,25,1639,0.000421,132673,200000,0.2,0.7,0,200000,64,cb,0.0,cb_44,44,16384,0.2,0.0,0,0.0,0,2025-11-06T18:33:09,0.8,14745,1,42.50258,0.0,518.546875,588.0,461.0,21.469768
256,1.0,,,,,8418428,25,1639,0.000417,131361,200000,0.2,0.7,0,200000,64,cb,0.0,cb_45,45,16384,0.2,0.0,0,0.0,0,2025-11-06T18:35:20,0.8,14745,1,42.09214,0.0,513.527344,569.0,453.0,22.164143
